bugid	buggy	buggy_class	suspiciousness	buggy_line	endbuggycode	failing_test_number	patch
1	[BUG] [BUGGY] return this.maxMiddleIndex; [FE] AssertionFailedError [CONTEXT] public int getMaxMiddleIndex() { [BUGGY] return this.maxMiddleIndex; [BUGGY] } [CLASS] TimePeriodValues [METHOD] getMaxMiddleIndex [RETURN_TYPE] int  [VARIABLES] List data String DEFAULT_DOMAIN_DESCRIPTION DEFAULT_RANGE_DESCRIPTION description domain old range boolean long e end maxEnd maxMiddle maxStart middle minEnd minMiddle minStart s serialVersionUID start int count end i index maxEndIndex maxMiddleIndex maxStartIndex minEndIndex minMiddleIndex minStartIndex result start  	projects/Chart7/source/org/jfree/data/time/TimePeriodValues.java	1.0	552	552	1	
2	[BUG] [BUGGY] this.minStartIndex = index; [FE] AssertionFailedError [CONTEXT] private void updateBounds(TimePeriod period, int index) { long start = period.getStart().getTime(); long end = period.getEnd().getTime(); long middle = start + ((end - start) / 2); if (this.minStartIndex >= 0) { long minStart = getDataItem(this.minStartIndex).getPeriod() .getStart().getTime(); if (start < minStart) { [BUGGY] this.minStartIndex = index; [BUGGY] } } else { this.minStartIndex = index; } if (this.maxStartIndex >= 0) { long maxStart = getDataItem(this.maxStartIndex).getPeriod() .getStart().getTime(); if (start > maxStart) { [CLASS] TimePeriodValues [METHOD] updateBounds [RETURN_TYPE] void  TimePeriod period int index [VARIABLES] List data String DEFAULT_DOMAIN_DESCRIPTION DEFAULT_RANGE_DESCRIPTION description domain old range boolean long e end maxEnd maxMiddle maxStart middle minEnd minMiddle minStart s serialVersionUID start int index maxEndIndex maxMiddleIndex maxStartIndex minEndIndex minMiddleIndex minStartIndex TimePeriod period  	projects/Chart7/source/org/jfree/data/time/TimePeriodValues.java	0.5	267	267	1	
3	[BUG] [BUGGY] this.minMiddleIndex = index; [FE] AssertionFailedError [CONTEXT] this.maxStartIndex = index; } if (this.minMiddleIndex >= 0) { long s = getDataItem(this.minMiddleIndex).getPeriod().getStart() .getTime(); long e = getDataItem(this.minMiddleIndex).getPeriod().getEnd() .getTime(); long minMiddle = s + (e - s) / 2; if (middle < minMiddle) { [BUGGY] this.minMiddleIndex = index; [BUGGY] } } else { this.minMiddleIndex = index; } if (this.maxMiddleIndex >= 0) { long s = getDataItem(this.minMiddleIndex).getPeriod().getStart() .getTime(); long e = getDataItem(this.minMiddleIndex).getPeriod().getEnd() [CLASS] TimePeriodValues [METHOD] updateBounds [RETURN_TYPE] void  TimePeriod period int index [VARIABLES] List data String DEFAULT_DOMAIN_DESCRIPTION DEFAULT_RANGE_DESCRIPTION description domain old range boolean long e end maxEnd maxMiddle maxStart middle minEnd minMiddle minStart s serialVersionUID start int index maxEndIndex maxMiddleIndex maxStartIndex minEndIndex minMiddleIndex minStartIndex TimePeriod period  	projects/Chart7/source/org/jfree/data/time/TimePeriodValues.java	0.5	292	292	1	
4	[BUG] [BUGGY] this.minEndIndex = index; [FE] AssertionFailedError [CONTEXT] } } else { this.maxMiddleIndex = index; } if (this.minEndIndex >= 0) { long minEnd = getDataItem(this.minEndIndex).getPeriod().getEnd() .getTime(); if (end < minEnd) { [BUGGY] this.minEndIndex = index; [BUGGY] } } else { this.minEndIndex = index; } if (this.maxEndIndex >= 0) { long maxEnd = getDataItem(this.maxEndIndex).getPeriod().getEnd() .getTime(); if (end > maxEnd) { [CLASS] TimePeriodValues [METHOD] updateBounds [RETURN_TYPE] void  TimePeriod period int index [VARIABLES] List data String DEFAULT_DOMAIN_DESCRIPTION DEFAULT_RANGE_DESCRIPTION description domain old range boolean long e end maxEnd maxMiddle maxStart middle minEnd minMiddle minStart s serialVersionUID start int index maxEndIndex maxMiddleIndex maxStartIndex minEndIndex minMiddleIndex minStartIndex TimePeriod period  	projects/Chart7/source/org/jfree/data/time/TimePeriodValues.java	0.5	317	317	1	
5	[BUG] [BUGGY] TimePeriodValue item = new TimePeriodValue(period, value); [FE] AssertionFailedError [CONTEXT] public void add(TimePeriod period, double value) { [BUGGY] TimePeriodValue item = new TimePeriodValue(period, value); [BUGGY] add(item); } [CLASS] TimePeriodValues [METHOD] add [RETURN_TYPE] void  TimePeriod period double value [VARIABLES] boolean TimePeriod period double value List data String DEFAULT_DOMAIN_DESCRIPTION DEFAULT_RANGE_DESCRIPTION description domain old range TimePeriodValue item long e end maxEnd maxMiddle maxStart middle minEnd minMiddle minStart s serialVersionUID start int i index maxEndIndex maxMiddleIndex maxStartIndex minEndIndex minMiddleIndex minStartIndex  	projects/Chart7/source/org/jfree/data/time/TimePeriodValues.java	0.3779644730092272	363	363	1	
6	[BUG] [BUGGY] add(item); [FE] AssertionFailedError [CONTEXT] public void add(TimePeriod period, double value) { TimePeriodValue item = new TimePeriodValue(period, value); [BUGGY] add(item); [BUGGY] } [CLASS] TimePeriodValues [METHOD] add [RETURN_TYPE] void  TimePeriod period double value [VARIABLES] boolean TimePeriod period double value List data String DEFAULT_DOMAIN_DESCRIPTION DEFAULT_RANGE_DESCRIPTION description domain old range TimePeriodValue item long e end maxEnd maxMiddle maxStart middle minEnd minMiddle minStart s serialVersionUID start int i index maxEndIndex maxMiddleIndex maxStartIndex minEndIndex minMiddleIndex minStartIndex  	projects/Chart7/source/org/jfree/data/time/TimePeriodValues.java	0.3779644730092272	364	364	1	
7	[BUG] [BUGGY] } [FE] AssertionFailedError [CONTEXT] public void add(TimePeriod period, double value) { TimePeriodValue item = new TimePeriodValue(period, value); add(item); [BUGGY] } [BUGGY]  [CLASS] TimePeriodValues [METHOD] add [RETURN_TYPE] void  TimePeriod period double value [VARIABLES] boolean TimePeriod period double value List data String DEFAULT_DOMAIN_DESCRIPTION DEFAULT_RANGE_DESCRIPTION description domain old range TimePeriodValue item long e end maxEnd maxMiddle maxStart middle minEnd minMiddle minStart s serialVersionUID start int i index maxEndIndex maxMiddleIndex maxStartIndex minEndIndex minMiddleIndex minStartIndex  	projects/Chart7/source/org/jfree/data/time/TimePeriodValues.java	0.3779644730092272	365	365	1	
8	[BUG] [BUGGY] this(name, DEFAULT_DOMAIN_DESCRIPTION, DEFAULT_RANGE_DESCRIPTION); [FE] AssertionFailedError [CONTEXT] public TimePeriodValues(Comparable name) { [BUGGY] this(name, DEFAULT_DOMAIN_DESCRIPTION, DEFAULT_RANGE_DESCRIPTION); [BUGGY] } [CLASS] TimePeriodValues [METHOD] <init> [RETURN_TYPE] Comparable)  Comparable name [VARIABLES] List data Comparable name String DEFAULT_DOMAIN_DESCRIPTION DEFAULT_RANGE_DESCRIPTION domain range boolean long serialVersionUID int maxEndIndex maxMiddleIndex maxStartIndex minEndIndex minMiddleIndex minStartIndex  	projects/Chart7/source/org/jfree/data/time/TimePeriodValues.java	0.31622776601683794	114	114	1	
9	[BUG] [BUGGY] } [FE] AssertionFailedError [CONTEXT] public TimePeriodValues(Comparable name) { this(name, DEFAULT_DOMAIN_DESCRIPTION, DEFAULT_RANGE_DESCRIPTION); [BUGGY] } [BUGGY]  [CLASS] TimePeriodValues [METHOD] <init> [RETURN_TYPE] Comparable)  Comparable name [VARIABLES] List data Comparable name String DEFAULT_DOMAIN_DESCRIPTION DEFAULT_RANGE_DESCRIPTION domain range boolean long serialVersionUID int maxEndIndex maxMiddleIndex maxStartIndex minEndIndex minMiddleIndex minStartIndex  	projects/Chart7/source/org/jfree/data/time/TimePeriodValues.java	0.31622776601683794	115	115	1	
10	[BUG] [BUGGY] super(name); [FE] AssertionFailedError [CONTEXT] public TimePeriodValues(Comparable name, String domain, String range) { [BUGGY] super(name); [BUGGY] this.domain = domain; this.range = range; this.data = new ArrayList(); } [CLASS] TimePeriodValues [METHOD] <init> [RETURN_TYPE] String)  Comparable name String domain String range [VARIABLES] List data Comparable name String DEFAULT_DOMAIN_DESCRIPTION DEFAULT_RANGE_DESCRIPTION domain range boolean long serialVersionUID int maxEndIndex maxMiddleIndex maxStartIndex minEndIndex minMiddleIndex minStartIndex  	projects/Chart7/source/org/jfree/data/time/TimePeriodValues.java	0.31622776601683794	129	129	1	
