projects/Time3/src/main/java/org/joda/time/MutableDateTime.java661}
projects/Time3/src/main/java/org/joda/time/MutableDateTime.java661setMillis(getChronology().years().add(getMillis(),years));
projects/Time3/src/main/java/org/joda/time/MutableDateTime.java661setMillis(getChronology().millis().add(getMillis(),millis));
projects/Time3/src/main/java/org/joda/time/MutableDateTime.java661
projects/Time3/src/main/java/org/joda/time/MutableDateTime.java661setMillis(getChronology().years().contains(getMillis(),years));
projects/Time3/src/main/java/org/joda/time/MutableDateTime.java661setMillis(getChronology().years().remove(getMillis(),years));
projects/Time3/src/main/java/org/joda/time/MutableDateTime.java661iInstant.setMillis(getChronology().years().add(getMillis(),years));
projects/Time3/src/main/java/org/joda/time/MutableDateTime.java661add(getChronology().years(),years);
projects/Time3/src/main/java/org/joda/time/MutableDateTime.java661setMillis(getChronology().years().add(getMillis(),years));firePropertyChange("millis",getChronology());
projects/Time3/src/main/java/org/joda/time/MutableDateTime.java661add(getChronology().years(),years,getMillis());
projects/Time3/src/main/java/org/joda/time/MutableDateTime.java661add(getChronology().years(),getMillis(),years);
projects/Time3/src/main/java/org/joda/time/MutableDateTime.java661setMillis(getChronology().millis().add(getMillis(),millis),getZone());
projects/Time3/src/main/java/org/joda/time/MutableDateTime.java661setMillis(getChronology().years().add(getMillis(),years),getChronology());
projects/Time3/src/main/java/org/joda/time/MutableDateTime.java661setMillis(getChronology().millis().add(getMillis(),years));
projects/Time3/src/main/java/org/joda/time/MutableDateTime.java661setMillis(getChronology().millis().add(getMillis(),years));firePropertyChange("millis",getChronology());
projects/Time3/src/main/java/org/joda/time/MutableDateTime.java661add(getChronology().years(),years,iInstant);
projects/Time3/src/main/java/org/joda/time/MutableDateTime.java661setMillis(getChronology().millis().add(getMillis(),millis),this);
projects/Time3/src/main/java/org/joda/time/MutableDateTime.java661iInstant.setMillis(getChronology().millis().add(getMillis(),years));
projects/Time3/src/main/java/org/joda/time/MutableDateTime.java661setMillis(getChronology().millis().add(getMillis(),millis),getChronology());
projects/Time3/src/main/java/org/joda/time/MutableDateTime.java661setChronology(getChronology().years(),years);
